attr1,attr2,attr3,attr4,attr5,attr6,attr7,atr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18
42.9,26,31.5,13.1,10.4,18.8,14.1,106.2,71.5,32.5,26,34.5,36.5,23.5,16.5,21,1,65.6
43.7,28.5,33.5,14,11.8,20.6,15.1,110.5,79,34.4,28,36.5,37.5,24.5,17,23,1,71.8
40.1,28.2,33.3,13.9,10.9,19.7,14.1,115.1,83.2,33.4,28.8,37,37.3,21.9,16.9,28,1,80.7
44.3,29.9,34,13.9,11.2,20.9,15,104.5,77.8,31,26.2,37,34.8,23,16.6,23,1,72.6
41,26.8,32.2,14.9,10.6,17.8,14,107.5,78,36,29,34.5,35,22,16.5,23,1,71
45,27,33.2,13.7,11.1,20.7,14,112,82,34.5,29.5,39,35.7,24,17.5,22,1,79.6
39.9,30,34.5,15.6,11.9,21.2,16,112.2,88.3,37,28.8,40.9,41.7,24.2,17.8,30,1,93.8
43,26.5,30.3,14.8,11.2,19.7,14.7,120,73.6,31.2,26.9,36.4,35.6,22,17.1,22,1,70
43.1,28.6,33.4,14.9,12.2,20.8,14.8,109,78.5,34.5,28.5,38,36.5,23,18.5,29,1,72.4
43.6,29.3,34.4,15.4,10.9,20.7,15.5,118.5,87.3,37,30.5,39.8,42,26.5,18.8,22,1,85.9
42,27.5,30.7,13.1,11.1,19.2,13.9,116,92,32,27.6,37.5,35.2,21,17.3,22,1,78.8
43.8,28,33.3,15,11.5,20.4,14.4,111,80,37,30,37.5,35.5,23,18,20,1,77.8
42.3,26.4,31.2,14.6,10.8,18.6,13.8,117.7,74.5,31.2,26.9,36.2,33.3,23.5,16,22,1,66.2
42.7,29.9,35,14.3,11.2,19.8,14.1,123.9,90.6,37,28.3,35.4,40.6,22.9,17,24,1,86.4
44.8,27.8,32.2,15.2,11.6,19.4,14.7,120.6,81.4,39.4,31.9,38.5,41.2,22.8,18.2,26,1,81.8
46,30.1,34.5,16.4,13.3,22.2,14.9,129.5,89.5,37.5,30.1,39.9,41.5,23.5,19,24,1,89.6
45.4,31.8,35.2,14.6,10.5,20.2,15.3,115,85,35.5,28.5,38,40,23.5,16.7,21,1,82.8
40.5,28.3,33.4,14.6,11.1,20.8,14.5,116,73.5,32.5,27.8,39,38.2,23.5,17.8,24,1,76.4
39.4,25.5,30.2,13,10.2,18.9,13.2,107.8,75.8,31.2,26.5,37,37.4,21.5,16.5,23,1,63.2
40.2,27.2,31.7,13.3,10.1,18.6,13.2,100.2,74,27.5,24.8,34,32.8,21,15.6,19,1,60.9
44.2,30.3,34.7,14.9,11,19.1,15.8,113,77.5,32.8,26.2,37.6,36.3,21,16.6,23,1,74.8
41,23.6,30.2,14.3,11.2,18.2,14,117.9,74,34.1,28.6,36.2,36.6,22.4,17.2,25,1,70
44,31,35.3,15.2,11.4,21.2,15.1,112.5,74,29.8,27,36.4,34.6,22.9,17,23,1,72.4
41.6,32,35.3,15.5,11.3,20.9,15,110.5,82,32.8,28,40.7,40.1,24.3,17.2,23,1,84.1
41,25.1,31.9,13.6,10.8,18.8,12.9,112,73,36.4,27.5,37.2,34.5,21.8,16.9,23,1,69.1
41.5,24.5,30.5,13.3,10.8,18.6,14,104,70.5,29,26,36,34.5,21.5,17,20,1,59.5
41.1,27.8,31.4,14.5,11.9,18.5,13,114.8,75,31,26.1,36.3,35.1,21,17,22,1,67.2
38.8,27.2,31.6,13.4,10.8,19,14,108,72.1,29.5,24.5,36.1,37.2,22.9,16,24,1,61.3
36.2,27.5,30.4,13.6,10.8,19,15.4,111.2,78.8,31.9,27.4,36.4,35.1,23,16.8,22,1,68.6
42.1,27.5,32.4,16.2,12,21,16.4,118.3,77.5,37.7,29.9,38.3,39.6,23.3,18.7,24,1,80.1
39.4,28.3,30.6,15,11.5,18.4,14.4,118.7,79.8,39.8,29.6,34.2,38.1,21.1,16.9,23,1,75.6
38.5,26.1,30.8,15.1,11.4,19.8,14.2,126.3,81.6,39.5,31.7,38.8,36.5,22.7,17.9,23,1,86.2
40.1,27.8,33.1,15.4,11.5,20.6,15.4,124.2,76.8,37.9,30.9,35.9,38.3,23.4,17.3,36,1,75.3
40.3,28,32,14.8,10.6,19.4,15,126.7,85.9,40.1,30,36.8,38.6,21.9,16.4,25,1,87.1
37.6,26.6,29.9,12.8,10,17,13,103.3,73.3,30.5,24.8,31.1,30.5,19,15,24,1,55.2
38.3,25.2,30.2,13.2,10.4,18.8,13,101.2,69.9,31.5,26.6,32.8,36.3,20,15.8,20,1,57
39.7,28.6,32.1,13.4,10,18.2,14.8,104.3,72.7,27.8,26,34.8,34.7,21.1,15.3,52,1,61.4
42.2,29,33.7,15.6,12,19.8,16.2,113.2,82.7,33.1,28,37.9,39.1,23.2,17.7,50,1,76.8
41.1,30.4,35.1,15.5,11.6,21.5,15.4,121.9,90.1,36.3,29.6,38.4,42.4,25.3,17.5,46,1,86.8
40.5,29.3,33.7,13.8,11.7,19.7,14.4,113.1,82.9,34.5,27,35.2,35.2,21.4,16.5,51,1,72.2
41.5,28.6,30.4,14.8,11.2,20.7,16.5,108.5,77.9,31.2,27.5,36.6,37.5,21.6,16.1,28,1,71.6
43.4,32.4,36.4,15.6,12,20.8,16.3,113.9,92.5,34.5,28.4,38.4,38,22.4,17.2,48,1,84.8
43.5,26,31.6,14.3,11.4,19.5,14.6,112.6,77.8,33.2,26.4,34.2,36,21.8,17.5,35,1,68.2
41.3,27.1,32.4,14.1,10.8,20.2,15.5,110.2,72.7,32.1,27.4,33.5,33.8,21.1,16.9,23,1,66.1
40.3,29.5,33.3,14,11,19.4,14.8,108.7,75,34.2,27.9,36.1,36.2,22,17.5,23,1,72
36.3,29.2,33,14.1,11.7,20.4,14.3,104,76,29.5,26,37,34.5,22.8,17.4,62,1,64.6
39.9,28.3,32,13.5,11.4,18.9,14.4,115.2,82.7,32.4,27.6,35.8,36.3,21.8,16.7,21,1,74.8
39.8,28.8,33,12.4,10.7,18.5,13.2,111.9,80,33.8,28.6,36.2,37.4,22,17.2,26,1,70
43.5,33.2,34,15.8,12,18.6,13.2,127,107.1,39.6,30.6,40,39.6,24.6,17.7,33,1,101.6
41.2,26.6,30.6,13.1,10.4,19,13.8,111.2,76.2,30.7,25.8,34.8,32.6,21,16.1,36,1,63.2
44,28.4,32,14.9,10.9,21,14.8,122,90.2,35.7,29.4,39.2,39.1,24.5,17.9,41,1,79.1
41.8,28.5,31.6,13.3,10.3,18.9,14.3,114.5,89.4,31,26,36.4,35.6,21.6,16.6,40,1,78.9
42.9,27.5,30.3,12.6,10.4,19.2,13.8,109.5,80.9,31.5,26.3,36.1,39,21.2,15.6,27,1,67.7
38.7,24.6,28.5,14,11.2,18.9,13.6,110.8,73.5,30.6,27.1,36,36,23.8,17.5,27,1,66
41.4,26.4,32.3,14.9,11.5,18.9,14.6,118.8,70.9,36,28.6,36,34,22,17,23,1,68.2
39.6,27.5,30.2,13.5,10.4,19.3,14.2,108,76.1,28.6,23.9,34.5,37.9,22.7,15.8,31,1,63.9
40.5,27.5,32.3,12.6,10.6,18.4,14,114.3,81,32.3,26.8,35.8,37.6,21.1,15.8,26,1,72
34.1,28.1,30.1,12.9,9.9,18.6,12.3,105.4,72,28.6,24.8,34.9,35.1,20.1,15.4,23,1,56.8
43.5,28.8,34,14.3,10.5,19.8,14.2,115,76.8,33.2,28,37.5,35.6,22.1,16.3,24,1,74.5
44.1,29.2,35.3,15.8,12.5,20.2,15.2,119.5,86,34,29.8,38.8,39.5,23.6,18,24,1,90.9
42.2,32.6,36.6,14.1,11.1,18.2,13.9,130,98.5,35.8,27.2,38,41.2,23.3,16,34,1,93
42.2,30.1,31.4,14,11.6,21.6,14.1,113.3,79,34,28.8,39.6,40.8,25.9,18,21,1,80.9
43,26.5,31.6,13.4,10.4,18.8,13.6,113.2,77.5,30.9,26.6,36.5,35.8,21.3,16.5,25,1,72.7
39.8,28.7,33.3,13.5,11.6,19.5,14.6,106.9,75.2,29.2,26.1,36.2,35.7,22.1,16.7,34,1,68
37.7,29.7,32.7,13.3,11.1,18.3,13.2,113.8,82,32,27.1,35.6,36.4,20.7,16.2,31,1,70.9
39.6,27.9,33.3,12.6,10.7,18.5,12.9,117.3,79.6,32.6,27.4,36.5,38,21.6,16.6,40,1,72.5
43.2,26.3,30.5,14.4,12.3,20.2,13.6,124.2,75.2,36.7,29.9,38.1,36,22.6,17.3,21,1,72.5
44.3,28.2,32.2,14.2,11.6,20,14.4,123,88.6,36.9,29.4,38.4,38.6,23.1,17.3,33,1,83.4
43.3,28.2,33,13.8,11.1,17.8,13.2,117.8,81.5,33,27.8,35.4,36.5,21.9,16.4,25,1,75.5
42.8,27.5,31.5,14.1,11.1,19.1,14.7,118.8,79.9,33.5,27.3,36.8,37.9,22.3,16.6,29,1,73
41.5,30,33.4,14.8,11,19.8,13.8,112,73.5,34.3,28.5,36.5,35.2,22,17,27,1,70.2
42,27.6,32.2,13.9,10,18.7,13.8,113,80.3,33.3,28,36,37.8,20.3,16.5,44,1,73.4
41.2,27.1,29.8,12.9,11.6,18.8,13.5,116,81.5,33,28,35.1,35.2,21.1,16.3,26,1,70.5
43.8,29.5,31.2,13.1,10.3,19.1,13.2,112.8,74,30.5,26.1,36.6,38.6,21.2,16,22,1,68.9
46.2,31,36,14.6,12,20.9,15.1,125,104,37.5,29,41.2,39.3,24.6,18.6,37,1,102.3
40.4,28.6,31.4,13.9,10.1,20,13.4,108.3,76.2,31.2,26.2,36.8,37.7,22.7,16.2,38,1,68.4
40.8,27.1,29.4,13.3,10.4,18.5,12.8,108.2,76.5,33.1,27.2,35.5,35.3,21.5,16.2,20,1,65.9
43.9,27,33.5,13.2,10.4,19.1,13.1,113,81,32,27.4,37,35.5,24,16.5,21,1,75.7
44.2,27.9,32,14.3,11,21.1,14.9,115,88.8,34.6,27.9,38,39.4,23.2,17,24,1,84.5
41.6,28,35,13.4,11.2,20.6,14.4,123,94,35.6,27.3,39.5,43,25.3,17.7,45,1,87.7
38.1,30.1,33.2,14.2,12.3,19.2,15.2,120.2,83.4,34.7,29.4,39.4,41.8,24,17.8,25,1,86.4
42,28,33,14.3,11.1,20.2,15.2,114,77,33.5,27.9,38.4,38.5,22.5,17.5,22,1,73.2
37,27.3,31.1,13.2,10.5,18.7,13.4,102.9,75.4,25.6,22.7,33.8,32.5,21.2,14.6,29,1,53.9
41.6,27.5,32,13.8,10.7,19,13.9,112.5,80.3,32.5,28,36.5,35,21,16.4,37,1,72
40.1,19.4,28,13,10.6,16.9,12.6,104.5,68,27,23.6,34,34.5,20.9,16,20,1,55.5
38.7,25.2,28.8,13,10.2,17.9,13.5,111.3,80.6,30.7,25.3,35.5,34,20.8,16.4,20,1,58.4
37.4,29.9,33.5,14.4,11.5,20.5,16.8,117.2,88.6,36.9,28.8,40.3,39.7,26.3,18.1,32,1,83.2
41.7,28,32.9,14.6,11,19.5,15.3,112.8,81.1,33.7,28.6,35,37.3,23.1,16.7,23,1,72.7
38,27.1,28.3,13.8,11,18.9,14.8,104.8,70.8,28.7,25.5,38.5,34.2,21.3,15.6,25,1,64.1
40.5,24.9,29.7,14.4,11.8,19.5,14.9,117.7,73.3,36.3,32.5,34.3,34.3,22.3,18.4,27,1,72.3
35.6,28.5,29.4,14,10.8,19.1,15,107.7,75.9,33.2,27.9,34.8,35.5,23,16.3,21,1,65
43.6,30.2,32.4,15.2,11.3,19.8,15.2,125.2,86.2,36.3,28,38.3,34.7,23,16.1,27,1,86.4
37.6,24.4,28.3,12.9,10.8,18,14.3,109.1,75,36.3,28.9,34.5,33.5,23,17.1,25,1,65
41.1,31.7,34.2,13.8,11.8,19.4,15.4,122.6,101,38.6,30.3,39.5,39.4,25.6,18.3,38,1,88.6
42.1,30.6,34,15,11.4,20.2,15.4,117.3,90,34.6,29.7,38.2,38.3,23.7,18,44,1,84.1
40.5,28.3,32.4,13.4,11,19,14.5,109.1,75,30,26.5,31.7,30.2,16.4,16.1,27,1,66.8
40.9,28.5,31.3,14.3,11.7,19,15.6,116.7,75.9,35.2,28.7,37,37.7,24.5,17.3,37,1,75.5
43,30.6,33.8,15.6,12,21.6,16.4,124.9,96,38.2,30.1,41.2,39.4,25.1,17.7,28,1,93.2
40.5,27.8,31.1,15,11.6,20.4,15.2,118.6,84,38.7,30.2,38.6,38.2,22.8,18.2,33,1,82.7
41.9,25.4,30.2,12.6,9.8,18.8,13.6,108.8,67.1,30.3,25.4,32.7,32.1,20,15.3,25,1,58
42.1,28.5,33.1,15.6,12.2,19.7,15.6,121.9,82.5,37.9,31.6,37.8,38.3,24.6,18.1,21,1,79.5
43.8,29.2,32.6,14.6,11.7,20,15.2,117.3,83.7,33.7,28,38,39.6,25.8,17.6,30,1,78.6
42.1,28.5,31.7,14,11.3,19,14.4,115,76.7,35.7,27.6,34.7,34.6,20.6,16,26,1,71.8
43.4,32,36.2,16.1,12.6,23,16.3,134.8,105.2,39.4,32.1,42.2,47.7,27,19.2,27,1,116.4
38.7,26.8,31.5,13.8,10.8,18.2,13.3,113.8,90.6,34.8,28,34.1,35.8,22.2,16.3,33,1,72.2
39.6,28.7,32.4,15.2,11.8,19.6,14.8,119.4,85.7,35.3,28.7,39.3,35.9,23,17.4,29,1,83.6
43.4,30.6,32.9,15,12,20.5,17.2,117.9,82.5,32.8,28.7,39.2,37,27.5,17.9,27,1,85.5
40.5,29.7,31.7,15.2,11.3,21.2,15.2,127.3,94.7,37.2,30.9,40.5,40,24.2,17.6,34,1,90.9
40.3,30.4,34.2,13.6,12,19.2,13.8,118.8,105.2,38,30.2,36.9,37.7,21.6,18.3,42,1,85.9
44.2,30.6,33.8,15.3,11.5,20.9,16.5,122.4,86,40,31.2,38.3,39,25.8,19.5,29,1,89.1
41.3,26.8,32.2,13.6,11,19.1,15,111.5,90.9,30.1,26.8,38.1,36.4,23.2,16.3,41,1,75
39.8,25.6,31.3,14,11.2,21.2,16.4,113.2,92.4,32.9,29,37.7,37.7,23.4,17,43,1,77.7
41.3,29,32.2,14.4,11,19.7,15.8,115.3,96.5,31.9,28.5,37.7,39.3,24.5,17.1,43,1,86.4
38.9,27.5,32.9,14.6,11,20.5,15.3,122.5,98.4,39.2,30.5,42.6,40.7,25.3,17.5,29,1,90.9
41.1,25.6,29.9,14.1,10.7,19,15.1,114.4,76.7,32.1,27.7,36.1,32.9,23.2,17,27,1,73.6
41.5,30.6,35.8,15,11.8,21,15.6,112.8,94.8,31.1,27,37.7,36.8,24.6,18.4,62,1,76.4
38.5,27.8,31.7,13.1,11,18.4,14.8,112.2,80.1,32.9,27.2,36.2,33,23,16.8,33,1,69.1
39.4,29.7,33.1,14.2,11.6,20.4,15,119.4,97.4,36.6,28.4,38.2,36.6,22.9,18.1,45,1,84.5
40.9,26.1,27.5,13.2,10.4,18.6,14.8,108.4,73.7,29.6,26.2,35.2,36.2,21.2,16.2,30,1,64.5
41.1,23,29.4,15,10.8,19.3,14.5,122.4,76.1,37,30.6,36.8,37.7,23.6,18.5,20,1,69.1
43.6,28,32.4,14.6,11.7,21.4,15.1,128.8,95.6,37.1,30,41.8,39.6,24.7,18.2,22,1,108.6
39.8,29,34.9,14.3,11.7,19.8,15.4,118,101,38.1,29.8,39.7,41.8,25,19.6,51,1,86.4
42.1,27.8,31.7,14.3,11.5,19.6,15.6,116.5,84.5,33.9,28.6,38.5,37.6,25,17.7,34,1,80.9
41.1,27.1,33.8,14.4,12.4,18,15.1,120.4,98,38.2,29.9,37.7,39.2,24.9,17.6,44,1,87.7
44.2,30.4,36.5,15.4,11.6,20.4,15.4,123.1,101.6,34.9,28.9,40.3,40,23.7,18.1,46,1,94.5
38.9,26.8,31.5,13.6,10.8,18.9,15.2,117.2,87.8,33.1,28.4,38.2,37.7,24.5,17.1,34,1,80.2
40.1,28.7,32.2,15.2,11.8,20.7,15.4,113,80,31.5,26.5,36.9,36.4,22.9,17,32,1,72
38.7,26.8,31.5,12.9,10.4,18,14.3,109.4,81.8,31,25.7,35,33,22,15.5,28,1,71.4
35.6,26.4,30.8,14.6,11.5,19.6,15.3,105.7,84.4,30.5,26.4,36.1,38.4,21.3,16.4,31,1,72.7
40.5,26.8,30.6,15,11.8,20.4,15.8,119.7,85,39.2,29.9,37.9,37.7,23.8,17.1,29,1,84.1
41.1,25.4,32,14.3,12.4,19.6,14.3,118,90,33.5,29.1,36,36.9,23,18,42,1,76.8
38.7,26.1,29.2,13.6,10.4,17.6,14.2,104.3,72.9,29.8,24.8,32.6,33.1,22.1,16.3,29,1,63.6
38.9,27.1,30.4,14.8,11.7,19.4,14.6,114.1,81,35.5,30.6,36.9,37.3,22.7,16.8,31,1,80.9
39.4,29.7,33.1,15.6,12,19.5,14.8,119,86.5,34,28.4,38,37,22.5,17.4,30,1,80.9
37.6,27.8,32.2,14.6,11,21.5,15.8,113.8,93.9,34.4,28.5,40.9,40.8,24.6,17.1,27,1,85.5
39.8,25.9,31.3,14.3,11.2,18.7,14.3,118,77,32.6,28.4,34.4,34.4,20,16.5,25,1,68.6
40.3,27.3,30.4,15,11.3,19.1,14.6,116,75,32,27.3,33.8,34,22,17,24,1,67.7
40.3,25.2,29.2,13.2,10.2,18.9,14.3,108.3,80.6,28.9,25,34.6,37.4,23,16.4,33,1,66.4
43.8,30.4,34.9,15.4,11.6,17.8,14.6,129.2,100.5,37.4,31.6,41,39.7,25.4,18.4,45,1,102.3
41.1,27.8,32.9,14.6,11.2,19.5,15.8,109.2,81.2,33,27,35.2,35.5,23.1,16.3,37,1,70.5
41.7,30.6,34.7,14.9,10.8,18.9,14.1,124.3,103.4,35.4,29.7,42.3,40.8,24.8,17.1,44,1,95.9
45.4,30.8,35.6,15.2,10.8,18.6,15,122.6,90.3,35.4,28.6,40.4,37.8,24.9,17.9,34,1,84.1
43,30.8,34.7,16,13.2,19.5,16.1,122.4,98,36.4,29.2,40.9,42.1,26.1,19.5,55,1,87.3
41.1,25.4,30.4,14.8,10.6,18.7,15.2,114.9,86.5,35,28.9,38.3,37.8,24,17.3,43,1,71.8
41.1,29.2,31.5,14.8,11,18,15,111.1,77.9,35,28.4,35.5,35,21,16.6,24,1,65.9
45.2,32.2,36,15.8,11.3,20.5,14.8,126,89.1,37.9,31.2,41.1,41.2,27.7,18.1,22,1,95.9
39.8,34.7,34.7,14.8,10.6,20.6,14.3,115.5,93.9,36.2,29.7,42.8,39.3,23.5,16.8,38,1,91.4
